trstepF lambdaF nF trstepR lambdaR nR maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T) maxI(T;Y) correspondingI(X;T)
100 0.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99103 0.99653 11.74670 0.99524 10.00254 0.97871 4.46624 0.93500 1.33709 
100 0.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99591 0.99653 11.77458 0.98957 9.54548 0.98871 2.67625 0.97154 1.55989 
100 0.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99542 0.99818 11.90180 0.98581 11.35836 0.96252 6.25719 0.90002 2.20434 
100 0.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99805 0.99916 11.95806 0.99769 11.28986 0.99370 5.27489 0.94875 1.93893 
100 0.0 5 100 0.0 5 0.99916 11.99902 0.99916 11.99737 0.99537 11.21352 0.99867 7.43348 0.99467 2.49609 0.98415 1.19906 
100 0.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.96490 0.97602 11.25547 0.94310 9.43496 0.93996 5.32478 0.90504 2.02803 
100 0.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99902 0.99867 11.96417 0.97480 11.16356 0.97939 7.86096 0.92821 2.40154 
100 0.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99902 0.99916 11.91099 0.97858 9.52001 0.97140 3.22068 0.94430 1.63942 
100 0.0 5 100 0.0 5 0.99916 11.99805 0.99916 11.99542 0.99180 11.31592 0.98927 8.94812 0.99304 3.47717 0.98243 1.85492 
100 0.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99249 0.98963 11.43530 0.97838 8.67421 0.96650 2.75597 0.93548 1.15669 
100 0.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99902 0.99653 11.74602 0.99038 8.62927 0.98450 3.12856 0.96577 1.45611
100 0.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99737 0.99330 11.73686 0.97932 10.90109 0.93082 6.29118 0.82513 2.04724 
100 0.0 5 100 0.0 5 0.99916 11.99609 0.99916 11.99902 0.99769 11.83549 0.98932 10.04043 0.98701 4.23569 0.96902 1.99961 
100 0.0 5 100 0.0 5 0.99916 11.99805 0.99916 11.99493 0.99317 11.03147 0.99478 7.46476 0.99026 2.19801 0.97627 1.38381 
100 0.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99707 0.99101 11.64375 0.96271 9.80130 0.96584 5.65406 0.94153 2.41826 
100 0.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99298 0.98450 10.99725 0.98930 7.96317 0.99217 2.54332 0.97435 1.25614 
100 0.0 5 100 0.0 5 0.99916 12.00000 0.99916 11.99103 0.99402 10.89253 0.99295 5.78466 0.97803 2.62213 0.96836 1.05963 
100 0.0 5 100 0.0 5 0.99916 11.99902 0.99916 11.98663 0.99916 11.53687 0.99916 7.59401 0.99704 2.32763 0.98650 1.30054 
100 0.0 5 100 0.0 5 0.99916 11.99902 0.99916 11.98761 0.99195 11.43854 0.98681 7.94376 0.98609 3.08063 0.97009 1.69828 
100 0.0 5 100 0.0 5 0.99916 11.99902 0.99916 11.99249 0.99818 11.88908 0.99544 10.41702 0.99334 3.52937 0.96453 1.86774 

